us,Red,IR,Ratio,Ambient,Vel,Accel,Notes
487813095,96,358,0.2682,1536,-0.0645,0.0037,
487874953,57,219,0.2603,1696,-0.3542,-0.0671,
487999450,57,219,0.2603,1696,-0.3542,-0.0671,
488187282,57,219,0.2603,1696,-0.3542,-0.0671,
488249309,57,219,0.2603,1696,-0.3542,-0.0671,
488311291,57,219,0.2603,1696,-0.3542,-0.0671,
488372291,68,215,0.3163,1436,-0.2354,-0.0391,
488437289,68,215,0.3163,1436,-0.2354,-0.0391,
488559284,68,215,0.3163,1436,-0.2354,-0.0391,
488807467,68,215,0.3163,1436,-0.2354,-0.0391,
488869285,68,215,0.3163,1436,-0.2354,-0.0391,
488931289,68,215,0.3163,1436,-0.2354,-0.0391,
489057289,95,297,0.3199,1616,1.1949,0.3784,
489369289,95,297,0.3199,1616,1.1949,0.3784,
489432363,95,297,0.3199,1616,1.1949,0.3784,
489496294,95,297,0.3199,1616,1.1949,0.3784,
489808289,95,297,0.3199,1616,1.1949,0.3784,
489869286,95,297,0.3199,1616,1.1949,0.3784,
489994285,59,216,0.2731,1565,0.8978,0.1749,
490057597,81,260,0.3115,1611,0.0039,-0.0918,
490308286,81,260,0.3115,1611,0.0039,-0.0918,
490369595,81,260,0.3115,1611,0.0039,-0.0918,
490433294,81,260,0.3115,1611,0.0039,-0.0918,
490494285,110,308,0.3571,1488,-0.1979,-0.0207,
490557285,110,308,0.3571,1488,-0.1979,-0.0207,
490618286,110,308,0.3571,1488,-0.1979,-0.0207,
490870285,110,308,0.3571,1488,-0.1979,-0.0207,
490933285,110,308,0.3571,1488,-0.1979,-0.0207,
490995141,110,308,0.3571,1488,-0.1979,-0.0207,
491056294,110,308,0.3571,1488,-0.1979,-0.0207,
491307015,68,183,0.3716,1677,0.1471,-0.0124,
491369317,68,183,0.3716,1677,0.1471,-0.0124,
491493285,127,297,0.4276,1366,0.1701,0.0372,
491556286,127,297,0.4276,1366,0.1701,0.0372,
491805285,127,297,0.4276,1366,0.1701,0.0372,
491867285,127,297,0.4276,1366,0.1701,0.0372,
491932193,127,297,0.4276,1366,0.1701,0.0372,
491994043,127,297,0.4276,1366,0.1701,0.0372,
492057285,127,297,0.4276,1366,0.1701,0.0372,
492180294,127,297,0.4276,1366,0.1701,0.0372,
492305284,127,297,0.4276,1366,0.1701,0.0372,
492370290,127,297,0.4276,1366,0.1701,0.0372,
492494285,167,348,0.4799,1358,0.1378,0.0318,
492556059,167,348,0.4799,1358,0.1378,0.0318,
492808286,167,348,0.4799,1358,0.1378,0.0318,
492871576,167,348,0.4799,1358,0.1378,0.0318,
492934285,167,348,0.4799,1358,0.1378,0.0318,
492997286,119,199,0.598,1690,-0.1294,-0.0169,
493058286,108,223,0.4843,1590,-0.0114,0.0118,
493182300,108,223,0.4843,1590,-0.0114,0.0118,
493309286,108,223,0.4843,1590,-0.0114,0.0118,
493370438,108,223,0.4843,1590,-0.0114,0.0118,
493432285,108,223,0.4843,1590,-0.0114,0.0118,
493494289,108,223,0.4843,1590,-0.0114,0.0118,
493556165,108,223,0.4843,1590,-0.0114,0.0118,
493806285,108,223,0.4843,1590,-0.0114,0.0118,
493872097,108,223,0.4843,1590,-0.0114,0.0118,
493993285,90,263,0.3422,1204,0.0964,0.0318,
494056286,90,263,0.3422,1204,0.0964,0.0318,
494118290,90,263,0.3422,1204,0.0964,0.0318,
494183286,90,263,0.3422,1204,0.0964,0.0318,
494244286,90,263,0.3422,1204,0.0964,0.0318,
494368285,50,222,0.2252,1683,0.0579,0.0095,
494429048,50,222,0.2252,1683,0.0579,0.0095,
494493294,50,222,0.2252,1683,0.0579,0.0095,
494554610,50,222,0.2252,1683,0.0579,0.0095,
494677286,50,222,0.2252,1683,0.0579,0.0095,
494805294,50,222,0.2252,1683,0.0579,0.0095,
494928286,50,222,0.2252,1683,0.0579,0.0095,
494989285,50,222,0.2252,1683,0.0579,0.0095,
495052476,50,222,0.2252,1683,0.0579,0.0095,
495177285,64,283,0.2261,1654,0.0835,0.1105,
495490286,64,283,0.2261,1654,0.0835,0.1105,
495552286,64,283,0.2261,1654,0.0835,0.1105,
495613344,64,283,0.2261,1654,0.0835,0.1105,
495678073,64,283,0.2261,1654,0.0835,0.1105,
495867285,61,282,0.2163,1644,0.2259,0.0378,
495930286,61,282,0.2163,1644,0.2259,0.0378,
495992874,61,282,0.2163,1644,0.2259,0.0378,
496054285,61,282,0.2163,1644,0.2259,0.0378,
496115296,61,282,0.2163,1644,0.2259,0.0378,
496176286,54,191,0.2827,1591,-0.0147,-0.0017,
496239286,47,208,0.226,1649,-0.0057,0.0009,
496488292,37,154,0.2403,1711,0.024,0.0009,
496618454,37,154,0.2403,1711,0.024,0.0009,
496930289,37,154,0.2403,1711,0.024,0.0009,
496992309,37,154,0.2403,1711,0.024,0.0009,
497116294,38,217,0.1751,1578,0.4324,0.0968,
497429384,38,217,0.1751,1578,0.4324,0.0968,
497492285,38,217,0.1751,1578,0.4324,0.0968,
497555290,38,217,0.1751,1578,0.4324,0.0968,
